bildid	bil_landing_page	contributor	affiliation	award_number	project	consortium	bildirectory	generalmodality	technique	species	taxonomy	genotype	samplelocalid	size	pretty_size	number_of_files	file_types	frequencies
ace-aim-jot	https://api.brainimagelibrary.org/web/view?bildid=ace-aim-jot	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/f3/a8/f3a8145c0a7a38a3	spatial transcriptomics	NA	marmoset	NCBI:txid9483	NA	20190619_CTX_DLX-GFP_PVALB_TH_CJJamie_011	8390202450	7.8G	3	"{'images': 1, 'other': 1, 'tracing': 1}"	"{'.tif': 1, '.nd2': 1, '.swc': 1}"
ace-aim-jaw	https://api.brainimagelibrary.org/web/view?bildid=ace-aim-jaw	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/cf/ee/cfeef105bf50e921/	spatial transcriptomics	NA	marmoset	NCBI:txid9483	NA	20190429_STR_DLX-GFP_CHAT_SLC5A7_CJJamie_006	5168872845	4.8G	3	"{'images': 1, 'other': 1, 'tracing': 1}"	"{'.tif': 1, '.nd2': 1, '.swc': 1}"
ace-aim-ice	https://api.brainimagelibrary.org/web/view?bildid=ace-aim-ice	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/fe/fc/fefc9e1a639ec580/	spatial transcriptomics	NA	marmoset	NCBI:txid9483	NA	20190624_STR_DLX-GFP_SST_DKK2_CJJamie_003	7853345752	7.3G	3	"{'images': 1, 'tracing': 1, 'other': 1}"	"{'.tif': 1, '.swc': 1, '.nd2': 1}"
ace-aim-imp	https://api.brainimagelibrary.org/web/view?bildid=ace-aim-imp	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/30/cf/30cf2db35c73ba3c/	spatial transcriptomics	MORPHO reconstruction	marmoset	NCBI:txid9483	NA	20190306_PFC_DLX-GFP_GAD1_CXCL14_CJJamie_021	957560174	913.2M	3	"{'images': 1, 'tracing': 1, 'other': 1}"	"{'.tif': 1, '.swc': 1, '.nd2': 1}"
ace-aim-jar	https://api.brainimagelibrary.org/web/view?bildid=ace-aim-jar	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/10/78/107872470cdb5226/	spatial transcriptomics		marmoset	NCBI:txid9483		20190807_PFC_DLX-GFP_SST_SMC2_CJJAnna_015	5975565669	5.6G	3	"{'images': 1, 'tracing': 1, 'other': 1}"	"{'.tif': 1, '.swc': 1, '.nd2': 1}"
ace-bag-hot	https://api.brainimagelibrary.org/web/view?bildid=ace-bag-hot	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/69/bd/69bd34208e4cd3de/	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483		Cortex CALB1+SST-_1 DLX5/6-GFP+ Marmoset Yanma 20200805	33555400	32.0M	2	"{'images': 1, 'tracing': 1}"	"{'.tiff': 1, '.swc': 1}"
ace-bag-how	https://api.brainimagelibrary.org/web/view?bildid=ace-bag-how	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/c5/70/c57067b0137f63e7/	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483		Cortex CALB1-SST+ DLX5/6-GFP+ Marmoset Yanma 20200805	33555400	32.0M	2	"{'images': 1, 'tracing': 1}"	"{'.tiff': 1, '.swc': 1}"
ace-bag-ill	https://api.brainimagelibrary.org/web/view?bildid=ace-bag-ill	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/12/48/12489918115f6fe0/	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483		Cortex VIP+PTGFR+ DLX5/6-GFP+ Marmoset Yanma 20200901	38278629	36.5M	3	"{'images': 2, 'tracing': 1}"	"{'.swc': 1, '.tif': 1, '.tiff': 1}"
ace-aim-hut	https://api.brainimagelibrary.org/web/view?bildid=ace-aim-hut	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/88/26/8826787ca8d055bb/	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	NA	20190424_STR_DLX-GFP_PVALB_TAC3_CJJamie_007	3959947351	3.7G	3	"{'images': 2, 'tracing': 1}"	"{'.tif': 2, '.swc': 1}"
ace-bag-hut	https://api.brainimagelibrary.org/web/view?bildid=ace-bag-hut	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/4a/8f/4a8ffbb8c976511f/	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483		Cortex LAMP5+NOS1- DLX5/6-GFP+ Marmoset Yanma 20200826	38831070	37.0M	5	"{'images': 2, 'tracing': 2, 'other': 1}"	"{'.swc': 2, '.tif': 1, '.tiff': 1, '.txt': 1}"
ace-bag-hum	https://api.brainimagelibrary.org/web/view?bildid=ace-bag-hum	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/13/78/13786030de63fb4f/	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483		Cortex LAMP5+KIT+_1 DLX5/6-GFP+ Marmoset Yanma 20200826	38810619	37.0M	4	"{'images': 2, 'tracing': 2}"	"{'.swc': 2, '.tiff': 1, '.tif': 1}"
ace-bag-hog	https://api.brainimagelibrary.org/web/view?bildid=ace-bag-hog	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/a0/3d/a03df56553bd1e9b	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483		Cortex LAMP5+_NTNG+_2 DLX5/6-GFP+ Marmoset Yanma 20200805	40125835	38.3M	4	"{'images': 2, 'tracing': 2}"	"{'.swc': 2, '.tif': 1, '.tiff': 1}"
ace-bag-ice	https://api.brainimagelibrary.org/web/view?bildid=ace-bag-ice	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/e5/d5/e5d52897efcdffca	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483		Cortex LAMP5+_NTNG+_1 DLX5/6-GFP+ Marmoset Yanma 20200805	40123525	38.3M	4	"{'images': 2, 'tracing': 2}"	"{'.swc': 2, '.tif': 1, '.tiff': 1}"
ace-bay-gag	https://api.brainimagelibrary.org/web/view?bildid=ace-bay-gag	"Yang, X. William"	"University of California, Los Angeles"	1-U01-MH117079-01	U01 Yang	Brain Initiative Cell Census Network (BICCN)	/bil/data/bf/18/bf18deb532fe530e/TME08-1_Lvl2_Reconstruction/	cell morphology	MORF genetic sparse labeling	mouse	10090	Camk2a-CreERT2-Cre; MORF3; Drd1a-tdTomato (C57BL/6)	TME08-1	52586105076	49.0G	414	"{'images': 207, 'tracing': 207}"	"{'.tif': 207, '.swc': 207}"
ace-bag-pup	https://api.brainimagelibrary.org/web/view?bildid=ace-bag-pup	"Yang, X. William"	"University of California, Los Angeles"	1-U01-MH117079-01	U01 Yang	Brain Initiative Cell Census Network (BICCN)	/bil/data/2d/61/2d613f20a42b59e8/TME05-1_Lvl2_Reconstruction	cell morphology	MORF genetic sparse labeling	mouse	10090	Camk2a-CreERT2-Cre; MORF3; Drd1a-tdTomato (C57BL/6)	TME05-1	2.63511E+11	245.4G	476	"{'images': 238, 'tracing': 235, 'other': 3}"	"{'.tif': 238, '.swc': 235, '.SWC': 3}"
ace-bay-bus	https://api.brainimagelibrary.org/web/view?bildid=ace-bay-bus	Ulrich Mueller	John Hopkins University	1-RF1-MH121539-01	RF1 Mueller	Brain Initiative Cell Census Network (BICCN)	/bil/data/87/29/8729e953896c2be0/2018-08-01	morphology	Mouselight	mouse	NCBI:txid10090	Sim1-Cre	12/1/18	3.07662E+13	28.0T	708161	"{'images': 310681, 'tracing': 259547, 'other': 137933}"	"{'.tif': 310680, '.swc': 259547, '.ktx': 137788, '.sample': 9, '.py': 8, '.pyc': 6, '.txt': 5, '.zip': 2, '.jl': 2, '.yml': 2, '.md': 2, '.png': 1, '.gz': 1, '.TAG': 1, '.pack': 1, '.idx': 1, '.log': 1}"
ace-bay-bun	https://api.brainimagelibrary.org/web/view?bildid=ace-bay-bun	Ulrich Mueller	John Hopkins University	1-RF1-MH121539-01	RF1 Mueller	Brain Initiative Cell Census Network (BICCN)	/bil/data/78/37/7837c3cf704aa7fc/2018-12-01	morphology	Mouselight	mouse	NCBI:txid10090	Sim1-Cre	12/1/18	2.94024E+13	26.7T	532723	"{'images': 355076, 'other': 177547, 'tracing': 100}"	"{'.tif': 355076, '.ktx': 177538, '.swc': 100, '.jl': 2, '.log': 2, '.txt': 1, '.pdf': 1, '.gz': 1, '.jld2': 1, '.yml': 1}"
ace-bag-set	https://api.brainimagelibrary.org/web/view?bildid=ace-bag-set	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/f5/58/f558fa3812c7f8eb	cell morphology	FISH	marmoset	NCBI:txid9483		20200917_CJYanma_aGFP488_S1_S2_MidSec_Ex6--FOV 00682	3389238300	3.2G	407	"{'images': 404, 'other': 2, 'tracing': 1}"	"{'.tif': 404, '.jpg': 1, '.swc': 1, '.txt': 1}"
ace-bag-raw	https://api.brainimagelibrary.org/web/view?bildid=ace-bag-raw	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/dd/0b/dd0bf4e72f86a1ac	cell morphology	FISH	marmoset	NCBI:txid9483		20200916_CJYanma_aGFP488_S3_S4_MidSec_Ex6--FOV 00864	3422742757	3.2G	408	"{'images': 405, 'other': 2, 'tracing': 1}"	"{'.tif': 404, '.jpg': 1, '.tiff': 1, '.txt': 1, '.swc': 1}"
ace-bag-shy	https://api.brainimagelibrary.org/web/view?bildid=ace-bag-shy	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/9c/12/9c12ff31faef38b6	cell morphology	FISH	marmoset	NCBI:txid9483		b50_4x_20200917_CJYanma_aGFP488_S1_S2_MidSec_Ex6--FOV 00701	3422797452	3.2G	408	"{'images': 405, 'other': 2, 'tracing': 1}"	"{'.tif': 404, '.jpg': 1, '.txt': 1, '.tiff': 1, '.swc': 1}"
ace-bag-red	https://api.brainimagelibrary.org/web/view?bildid=ace-bag-red	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/45/1f/451fd3e83e44fb76	cell morphology	FISH	marmoset	NCBI:txid9483		20200916_CJYanma_aGFP488_S3_S4_MidSec_Ex6--FOV 00884	3429273459	3.2G	409	"{'images': 406, 'other': 2, 'tracing': 1}"	"{'.tif': 405, '.tiff': 1, '.swc': 1, '.txt': 1, '.jpg': 1}"
ace-bid-bag	https://api.brainimagelibrary.org/web/view?bildid=ace-bid-bag	"Yang, X. William"	"University of California, Los Angeles"	1-U01-MH117079-01	U01 Yang	Brain Initiative Cell Census Network (BICCN)	/bil/data/4c/c1/4cc1e1562097491d/TME10-1_Lvl2_Reconstruction/	cell morphology	MORF genetic sparse labeling	mouse	10090	Camk2a-CreERT2-Cre; MORF3; Drd1a-tdTomato (C57BL/6)	TME10-1	1.02041E+11	95.0G	818	"{'images': 409, 'tracing': 409}"	"{'.tif': 409, '.swc': 409}"
ace-bog-vow	https://api.brainimagelibrary.org/web/view?bildid=ace-bog-vow	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/2f/c5/2fc5d038bdd1e43d/	cell morphology	smFISH	marmoset	NCBI:txid9483		Striatum 20200113_CJLoreleai_Ex11_S2_VIP+C3LN2-_Hippo-Region 092	3758209343	3.5G	447	"{'images': 445, 'other': 1, 'tracing': 1}"	"{'.tif': 444, '.txt': 1, '.swc': 1, '.tiff': 1}"
ace-ban-add	https://api.brainimagelibrary.org/web/view?bildid=ace-ban-add	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/8a/c6/8ac62bbadc4a5186	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjLoreleai	Cortex 20210210_CJLoreleai_Ex12_S3_Lamp5-_Nos1+_Hippo-Region 014	3758214575	3.5G	447	"{'images': 445, 'other': 1, 'tracing': 1}"	"{'.tif': 444, '.tiff': 1, '.txt': 1, '.swc': 1}"
ace-ban-ask	https://api.brainimagelibrary.org/web/view?bildid=ace-ban-ask	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/dd/1c/dd1ce32cb7e7be33	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjYanma	Hippocampus 20201208_CJYanma_Ex10_S4_S5_SST_TRHDE_SST+_NPY+_Hippo-Region 072	3758214665	3.5G	447	"{'images': 445, 'other': 1, 'tracing': 1}"	"{'.tif': 444, '.txt': 1, '.swc': 1, '.tiff': 1}"
ace-ban-boo	https://api.brainimagelibrary.org/web/view?bildid=ace-ban-boo	"Feng, Guoping"	Massachusetts Institute of Technology	1-U01-MH114819-01	U01 Feng	Brain Initiative Cell Census Network (BICCN)	/bil/data/0a/20/0a20da181b961239	spatial transcriptomics	smFISH	marmoset	NCBI:txid9483	CjYanma	Cortex 20201209_CJYanma_Ex10_S6_SST_CORT_Hippo-Region 043	3758357265	3.5G	447	"{'images': 445, 'other': 1, 'tracing': 1}"	"{'.tif': 444, '.txt': 1, '.swc': 1, '.tiff': 1}"
